Timestamp,Temp,Setpoint,Error,PidOutput,PTerms,ITerms,DTerms,RelayState,TempTrend,Status
2025-09-19 17:08:52,285.8,250,Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot find path 'C:\Users\roble\.platformio\packages\framework-arduinoespressif32\libraries\ArduPID\src\ArduPID.h' because it does not exist. Cannot find path 'C:\Users\roble\.platformio\lib_deps\denky32_ota\ArduPID\src\ArduPID.h' because it does not exist. This command cannot find a matching alias because an alias with the name 'pio' does not exist.,90848,0,0,0,0,INITIAL,HIGH_OVERSHOOT
2025-09-19 17:09:19,285.8,250,Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot find path 'C:\Users\roble\.platformio\packages\framework-arduinoespressif32\libraries\ArduPID\src\ArduPID.h' because it does not exist. Cannot find path 'C:\Users\roble\.platformio\lib_deps\denky32_ota\ArduPID\src\ArduPID.h' because it does not exist. This command cannot find a matching alias because an alias with the name 'pio' does not exist.,90848,0,0,0,0,STABLE,HIGH_OVERSHOOT
2025-09-19 17:09:46,284,250,Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot find path 'C:\Users\roble\.platformio\packages\framework-arduinoespressif32\libraries\ArduPID\src\ArduPID.h' because it does not exist. Cannot find path 'C:\Users\roble\.platformio\lib_deps\denky32_ota\ArduPID\src\ArduPID.h' because it does not exist. This command cannot find a matching alias because an alias with the name 'pio' does not exist.,90848,0,0,0,0,FALLING,HIGH_OVERSHOOT
2025-09-19 17:10:13,282.2,250,Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot find path 'C:\Users\roble\.platformio\packages\framework-arduinoespressif32\libraries\ArduPID\src\ArduPID.h' because it does not exist. Cannot find path 'C:\Users\roble\.platformio\lib_deps\denky32_ota\ArduPID\src\ArduPID.h' because it does not exist. This command cannot find a matching alias because an alias with the name 'pio' does not exist.,90848,0,0,0,0,FALLING,HIGH_OVERSHOOT
2025-09-19 17:10:40,278.6,250,Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot find path 'C:\Users\roble\.platformio\packages\framework-arduinoespressif32\libraries\ArduPID\src\ArduPID.h' because it does not exist. Cannot find path 'C:\Users\roble\.platformio\lib_deps\denky32_ota\ArduPID\src\ArduPID.h' because it does not exist. This command cannot find a matching alias because an alias with the name 'pio' does not exist.,90848,0,0,0,0,FALLING,HIGH_OVERSHOOT
2025-09-19 17:11:07,276.8,250,Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot find path 'C:\Users\roble\.platformio\packages\framework-arduinoespressif32\libraries\ArduPID\src\ArduPID.h' because it does not exist. Cannot find path 'C:\Users\roble\.platformio\lib_deps\denky32_ota\ArduPID\src\ArduPID.h' because it does not exist. This command cannot find a matching alias because an alias with the name 'pio' does not exist.,90848,0,0,0,0,FALLING,HIGH_OVERSHOOT
2025-09-19 17:11:34,275,250,Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot find path 'C:\Users\roble\.platformio\packages\framework-arduinoespressif32\libraries\ArduPID\src\ArduPID.h' because it does not exist. Cannot find path 'C:\Users\roble\.platformio\lib_deps\denky32_ota\ArduPID\src\ArduPID.h' because it does not exist. This command cannot find a matching alias because an alias with the name 'pio' does not exist.,90848,0,0,0,0,FALLING,HIGH_OVERSHOOT
2025-09-19 17:12:01,276.8,250,Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot find path 'C:\Users\roble\.platformio\packages\framework-arduinoespressif32\libraries\ArduPID\src\ArduPID.h' because it does not exist. Cannot find path 'C:\Users\roble\.platformio\lib_deps\denky32_ota\ArduPID\src\ArduPID.h' because it does not exist. This command cannot find a matching alias because an alias with the name 'pio' does not exist.,90848,0,0,0,0,RISING,HIGH_OVERSHOOT
2025-09-19 17:12:28,271.4,250,Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot find path 'C:\Users\roble\.platformio\packages\framework-arduinoespressif32\libraries\ArduPID\src\ArduPID.h' because it does not exist. Cannot find path 'C:\Users\roble\.platformio\lib_deps\denky32_ota\ArduPID\src\ArduPID.h' because it does not exist. This command cannot find a matching alias because an alias with the name 'pio' does not exist.,90848,0,0,0,0,FALLING,HIGH_OVERSHOOT
2025-09-19 17:12:55,269.6,250,Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot overwrite variable Error because it is read-only or constant. Cannot overwrite variable PID because it is read-only or constant. Cannot find path 'C:\Users\roble\.platformio\packages\framework-arduinoespressif32\libraries\ArduPID\src\ArduPID.h' because it does not exist. Cannot find path 'C:\Users\roble\.platformio\lib_deps\denky32_ota\ArduPID\src\ArduPID.h' because it does not exist. This command cannot find a matching alias because an alias with the name 'pio' does not exist.,90848,0,0,0,0,FALLING,HIGH_OVERSHOOT
